German,English
Jahr,Year
vielleicht,perhaps
Februar,February
nächsten,next
August,August
Verwandten,relatives
thränke,potions
Geschäfte,shops
geschlossen,closed
Familie,Family
Hausaufgaben,homework
Feiertag,Holiday
Stunden,Hours
müsst,have to
kurz,short
langweilig,boring
diesen,this one
Ausweis,ID
Erwachsene,Adult
wglchen,wish
finden,find
Horrorfilm,Horror film
Wochenende,weekend
vierzig,forty
Freitag,Friday
wohin,where
schließt,closes
Biergarten,Beer garden
jedes,each
hungrig,hungry
Liter,liter
Flaschen,bottles
grün,green
Gras,grass
frisch,fresh
Spinat,spinach
Gemüse,vegetables
weniger,fewer
langsam,slow
bekommt,receives
Sauerkraut,sauerkraut
Currywurst,Currywurst
Knödel,dumplings
Mayo,Mayo
Brezel,pretzel
sharf,sharp
Eier,Eggs
Nussallergie,Nut allergy
ihn,him
backen,bake
Kartoffelsalat,potato salad
nichts,nothing
am,on
besten,best
Dezember,December
Obst,Fruit
Eiskaffee,iced coffee
Dorf,Village
Großmutter,Grandmother
Großvater,Grandfather
Großeltern,Grandparents
Haustiere,Pets
Computer,computer
Juni,June
arbeitslos,unemployed
Auge,Eye
Auto,car
Motorrad,motorcycle
reisen,travel
brav,well-behaved
Januar,January
Kinder,Children
Praktikum,Internship
Job,job
Schildkröte,Turtle
Geschwister,Siblings
ihren,your
reich,rich
Freizeit,Leisure time
Bgamter,Bgamter
SORT,SORT
HS,H.S
hren,hear
Freieit,Freedom
Beamter,official
seinen,his
Haus,House
zufrieden,satisfied
Beamtin,civil servant
kaputt,broken
Fenster,Window
nternet,internet
Tür,door
Dusche,Shower
funktioniert,functions
Frühstück,Breakfast
Sessel,Armchair
Rezeption,reception
Fernseher,TV
Fitnessstudio,Gym
Balkon,balcony
Buchladen,Bookstore
gibt,gives
es,it
Flughafen,Airport
Strand,Beach
Bar,Bear
Ausflqg,Excursion
SS,SS
Zimmer,Room
willkommen,welcome
Ihren,Your
Pass,passport
nehme,take
Einzelzimmer,Single room
Nacht,Night
Doppelzimmer,Double room
Nächte,nights
rot,red
Bild,Picture
Kopfkissen,pillow
weich,soft
Pflanzen,Plant
Bettdecke,Bed cover
Esszimmer,dining room
SE,SE
Küche,kitchen
schmutzig,dirty
Kühlschrank,refrigerator
Mikrowelle,microwave
Bücher,Books
Kaffeetisch,Coffee table
Regal,shelf
Wohnzimmer,Living room
Sofa,sofa
Nachbar,Neighbor
Nachbarip,Neighborip
unser,our
wgiß,I don't know
leise,quiet
Uunsere,Ours
Schwarz,Black
Mehrfamilienhaus,Apartment building
Garten,Garden
zurzeit,currently
allein,alone
wohnen,reside
sonntags,Sunday
Reis,rice
Hähnchen,Chicken
Nudeln,Noodles
freitgs,Fridays
Freundinnen,girlfriends
ZUM,FOR THE
Abendessen,Dinner
Büro,Office
Kollegen,Colleagues
Schinken,Ham
Tasse,cup
Brötchen,Buns
Mittagessen,Lunch
treffe,meet
jede,every
triffst,meet
trifft,hits
Donnerstag,Thursday
Banane,banana
morgens,morning
Müsli,Cereal
7UM,7UM
isst,eats
Yoga,yoga
einmal,once
Joghurt,yogurt
zum,for the
abends,at evening
Sport,sport
wie,How
oft,often
früh,early
noch,still
gute,good
Viertel,Quarter
bis,until
morgen,morning
Leute,People
Pommes,Fries
Handy,cell phone
Musik,Music
Band,band
schmecken,taste good
hören,hear
Wiesn-Herz,Oktoberfest heart
Riesenrad,Ferris wheel
Weißbier,Wheat beer
sehe,see
neunzehnten,nineteenth
September,September
achtzehnten,eighteenth
Oktober,October
beginnt,begins
endet,ends
Oktoberfest,Oktoberfest
beliebt,popular
Spaß,Fun
wollen,want
lieben,love
Kanadierin,Canadian
Studenten,students
freundlich,friendly
Kanadier,Canadian
lebt,lives
seid,are
seine,his
Eltern,Parents
ihre,her
Deutsche,German
Amerikanerin,American
Deutscher,German
arbeitest,work
Amerikaner,American
Zürich,Zurich
arbeitet,works
fast,almost
lustig,funny
intelligent,intelligent
Kind,child
Baby,baby
Monate,Months
Mädchen,Girl
Geschichte,Story
achtzehn,eighteen
Psychologie,psychology
Jahre,Years
neunzehn,nineteen
studieren,study
glücklich,happy
Besserung,improvement
hurra,hurrah
gesund,healthy
mehr,more
Zahnschmerzen,Toothache
im,in the
Bett,Bed
schlafen,sleep
Fieber,Fever
Bauchschmerzen,stomach pain
müssen,have to
bleiben,remain
Name,name
siebzehn,seventeen
viel,much
Uhr,Clock
machen,make
sechzehn,sixteen
Termin,Appointment
Tablette,tablet
geh,go
iss,eat
Kopfschmerzen,Headache
Krankenhaus,hospital
trink,drink
schlafe,temple
müde,tired
traurig,sad
nachts,at night
Durst,thirst
krank,sick
arbeiten,work
Lust,Desire
leider,unfortunately
Mittwoch,Wednesday
schon,already
Pläne,Plans
lernen,learn
grillen,grill
wollt,wanted
Woche,Week
Wald,Forest
Hexe,Witch
campe,camp
Podcasts,Podcasts
hört,hard
Jazz,jazz
Videospiele,Video games
willst,want
höre,hear
Geige,violin
Film,film
Tennis,tennis
Instrument,instrument
tanzt,dances
Gitarre,guitar
tanzen,dance
Hobbys,Hobbies
surfen,surfing
tanze,dance
zu,to
Hause,home
könnt,can
feiert,celebrates
feiern,celebrate
macht,might
möchtet,would like
Einladung,Invitation
ihr,her
auf,on
jeden,every
Fall,case
Picknick,picnic
IT,I.T
kannst,can
siebten,seventh
zehnten,tenth
vierten,fourth
dritten,third
zweiten,second
Party,party
Mai,May
mache,make
Geburtstag,Birthday
ersten,first
März,March
April,April
Taxi,taxi
ET,ET
Straße,street
wiederholen,repeat
Adresse,address
Hotel,hotel
alles,everything
Gute,Good
lange,long
dauert,lasts
vierzehn,fourteen
Fuß,foot
Taxifahrt,Taxi ride
warten,wait
dreizehn,thirteen
Bushaltestelle,Bus stop
elf,eleven
Nummer,number
zwölf,twelve
fahren,drive
Bus,bus
fünfzehn,fifteen
circa,approx
dann,then
geradeaus,straight ahead
besuchen,visit
Stadtmuseum,City Museum
Fluss,Flow
Stadtzentrum,City center
Load,Load
more,more
cCirca,cApprox
sehen,see
Z00,Z00
Kunstmuseum,Art Museum
bar,bear
zusammen,together
fünfunddreißig,thirty-five
fünfundzwanzig,twenty-five
getrennt,separated
Obstsalat,Fruit salad
Zucker,Sugar
ohne,without
Eis,Ice
Apfelkuchen,Apple pie
guten,good
Appetit,appetite
Fleisch,Meat
bestellen,order
esse,eat
uppe,oops
trinke,drink
möchten,want
mich,me
Glas,Glass
Rotwein,red wine
trinken,drink
Apfelschorle,Apple spritzer
Lieber,Dear
griechisch,Greek
später,later
Hunger,hunger
italienisch,Italian
keinen,none
frei,free
Zugtür,Train door
Speisewagen,Dining car
Sitz,seat
Station,station
hinten,rear
fällt,falls
können,can
Kreditkarte,Credit card
Reisezentrum,Travel center
stornieren,cancel
zahlen,pay
Gleis,Track
ICE,ICE
Verspätung,Delay
Achtung,Danger
Abfahrt,departure
spät,late
halb,half
Minuten,minutes
nach,after
dreißig,thirty
kosten,cost
Hin-,There-
und,and
Rückfahrt,Return journey
Fahrkarte,ticket
zwanzig,twenty
Fahrkarten,Tickets
Toiletten,Toilets
Schuhe,Shoes
Aufzug,Elevator
Pullover,Sweater
schick,chic
Jeans,jeans
passt,fits
Größe,Size
T-shirt,T-shirt
Hemd,Shirt
Kleid,Dress
Sakko,jacket
suche,search
musst,must
aufgeregt,upset
Bluse,Blouse
kaufen,buy
gehe,go
Jobinterview,Job interview
nervös,nervous
Kaufhaus,department store
für,for
Dienstag,Tuesday
Montag,Monday
fantastisch,fantastic
Badezimmer,bathroom
Bücherregal,Bookshelf
dunkel,dark
hell,bright
Lampe,lamp
sauber,clean
Wohnung,Apartment
wer,who
Schreibtisch,Desk
Couch,couch
Schlafzimmer,bedroom
magst,like
Schrank,Wardrobe
bequem,comfortable
brauchen,need
Teppich,Carpet
den,the
brauchst,need
hässlich,ugly
haben,have
Tisch,Table
modern,modern
geöffnet,opened
Eintrittskarte,Entrance ticket
wann,When
heute,today
Nachmittag,Afternoon
um,around
schade,too bad
Spiel,Game
Konzert,concert
Da,There
Abend,Evening
Sonntag,Sunday
Samstag,Saturday
Zeit,Time
schwimmen,to swim
ins,into the
Geld,Money
Schwimmbad,Swimming pool
gehen,go
Freunde,Friends
joggen,jog
spielen,play
singst,sing
singt,sings
singe,sing
fotografiere,take photos
surft,surfs
jogge,jog
Basketball,basketball
frühstückt,breakfast
Morgen,Morning
Fußball,Football
Volleyball,volleyball
Urlaub,Vacation
joggt,jogging
surfe,surf
surfst,surf
frühstücke,breakfasts
joggst,jogging
DE,EN
machst,do
frühstückst,breakfast
warum,Why
spricht,speaks
lernt,learns
Muttersprache,native language
viele,many
Russisch,Russian
lernst,learn
lerne,learn
Spanisch,Spanish
schnell,fast
sprichst,speak
welche,which
Sprachen,Languages
Schwedisch,Swedish
schwer,difficult
Ihr,Her
Französisch,French
sein,be
einfach,simply
toll,great
Türkisch,Turkish
Polnisch,Polish
dünn,thin
perfekt,perfect
kommt,comes
Schnecke,Snail
heißt,is called
liebst,love
Fisch,Fish
Mitbewohnerin,flatmate
Partnerin,partner
Partner,partner
Mitbewohner,Roommates
keine,no
Oma,granny
Tante,aunt
liebt,loves
deinen,yours
meinen,mean
hat,has
einen,a
Freund,Friend
Onkel,Uncle
warm,warm
Sommer,Summer
wandert,wanders
Sonnencreme,Sunscreen
wandere,hike
wandern,hike
wanderst,wander
neblig,foggy
Frühling,Spring
Wasserflasche,Water bottle
stark,strong
jetzt,now
Winter,winter
schneit,snowing
Herbst,Autumn
habt,have
windig,windy
Regenschirm,umbrella
schlecht,bad
regnet,raining
sonnig,sunny
Wetter,Weather
bewölkt,cloudy
Erdbeeren,Strawberries
gern,gladly
geschehen,happen
Kartoffeln,potatoes
vielen,many
Dank,Thanks to
zehn,ten
Döner,Doner kebab
Tomaten,Tomatoes
Kilo,kilo
wirklich,really
fünf,five
sieben,seven
sechs,six
Euro,euro
von,from
null,zero
kostet,costs
oste,oste
Orangen,Oranges
Marktplatz,Marketplace
drei,three
eins,one
zwei,two
Anwalt,Attorney
Russland,Russia
Anwältin,Lawyer
Schweden,Sweden
Künstler,Artist
lebst,live
lebe,live
leben,life
Polizist,policeman
Schüler,students
Deutsch,German
spreche,speak
sprechen,speak
Englisch,English
kein,no
freut,happy
heiße,hot
heißen,are called
kommen,come
sind,are
Herr,Mister
Sie,She
Kanzlerin,Chancellor
U-Bahnstation,Subway station
Geldautomat,ATM
neu,new
weit,far
weg,away
Universität,University
Kino,cinema
rechts,right
links,left
Bäckerei,Bakery
Supermarkt,supermarket
ha,Ha
Museum,museum
billig,cheap
elegant,elegant
Cafe,cafe
alt,old
in,in
der,the
Nähe,Proximity
Kirche,Church
Apotheke,Pharmacy
Bibliothek,library
Bahnhof,Railroad station
Markt,market
da,there
drüben,over there
Park,park
Taxistand,Taxi rank
Klavier,Piano
